confidence,owner,kind,symbol,file,line,reference_count,action,decorated_route
medium,sahool-platform,function,build_canonical_hydraulic_capability,services/sahool-platform/api/canonical_hydraulic_capability.py,117,0,review_before_delete,False
medium,sahool-platform,function,hydraulic_capability_to_mpc_constraints,services/sahool-platform/api/canonical_hydraulic_capability.py,289,0,review_before_delete,False
medium,sahool-platform,function,build_canonical_irrigation_capability_graph,services/sahool-platform/api/canonical_irrigation_capability_graph.py,179,0,review_before_delete,False
medium,sahool-platform,function,irrigation_capability_graph_to_mpc_constraints,services/sahool-platform/api/canonical_irrigation_capability_graph.py,351,0,review_before_delete,False
medium,sahool-platform,function,build_canonical_nutrient_ledger,services/sahool-platform/api/canonical_nutrient_ledger.py,110,0,review_before_delete,False
medium,sahool-platform,function,build_canonical_phenology_state,services/sahool-platform/api/canonical_phenology_state.py,203,0,review_before_delete,False
medium,sahool-platform,function,state_payload,services/sahool-platform/api/canonical_phenology_state.py,344,0,review_before_delete,False
medium,sahool-platform,function,build_canonical_salinity_state,services/sahool-platform/api/canonical_salinity_state.py,126,0,review_before_delete,False
medium,sahool-platform,function,build_canonical_sprinkler_runoff_capability,services/sahool-platform/api/canonical_sprinkler_runoff_capability.py,58,0,review_before_delete,False
medium,sahool-platform,function,sprinkler_capability_to_mpc_constraints,services/sahool-platform/api/canonical_sprinkler_runoff_capability.py,167,0,review_before_delete,False
medium,sahool-platform,function,build_governed_vri_prescription,services/sahool-platform/api/canonical_vri_prescription.py,127,0,review_before_delete,False
medium,sahool-platform,function,vri_prescription_to_translation_input,services/sahool-platform/api/canonical_vri_prescription.py,464,0,review_before_delete,False
medium,sahool-platform,function,site_suitability,services/sahool-platform/api/coffee_advisor.py,59,0,review_before_delete,False
medium,sahool-platform,function,cultivation_guide,services/sahool-platform/api/coffee_advisor.py,89,0,review_before_delete,False
medium,sahool-platform,function,fetch_current_batch,services/sahool-platform/api/connectors/openmeteo.py,293,0,review_before_delete,False
medium,sahool-platform,function,fetch_bundle,services/sahool-platform/api/connectors/openmeteo.py,404,0,review_before_delete,False
medium,sahool-platform,function,spraying_condition_score,services/sahool-platform/api/connectors/openmeteo.py,685,0,review_before_delete,False
medium,sahool-platform,function,build_controller_handshake,services/sahool-platform/api/controller_edge_adapter.py,124,0,review_before_delete,False
medium,sahool-platform,function,normalize_controller_telemetry,services/sahool-platform/api/controller_edge_adapter.py,165,0,review_before_delete,False
medium,sahool-platform,function,build_controller_capability_snapshot,services/sahool-platform/api/controller_edge_adapter.py,223,0,review_before_delete,False
medium,sahool-platform,function,controller_capability_to_graph_input,services/sahool-platform/api/controller_edge_adapter.py,287,0,review_before_delete,False
medium,sahool-platform,function,prepare_controller_command_request,services/sahool-platform/api/controller_edge_adapter.py,300,0,review_before_delete,False
medium,sahool-platform,function,record_dispatch_decision,services/sahool-platform/api/decision_service_client.py,286,0,review_before_delete,False
medium,sahool-platform,function,record_recommendation_outcome,services/sahool-platform/api/decision_service_client.py,298,0,review_before_delete,False
medium,sahool-platform,function,record_learning_update,services/sahool-platform/api/decision_service_client.py,304,0,review_before_delete,False
medium,sahool-platform,function,get_decision_lineage,services/sahool-platform/api/decision_service_client.py,320,0,review_before_delete,False
medium,sahool-platform,function,list_decisions,services/sahool-platform/api/decision_service_client.py,326,0,review_before_delete,False
medium,sahool-platform,function,get_field_lineage,services/sahool-platform/api/decision_service_client.py,340,0,review_before_delete,False
medium,sahool-platform,function,get_reconciled_outcomes,services/sahool-platform/api/decision_service_client.py,348,0,review_before_delete,False
medium,sahool-platform,class,EventReplay,services/sahool-platform/api/event_replay.py,545,0,review_before_delete,False
medium,sahool-platform,function,ndvi_evidence_entry,services/sahool-platform/api/evidence_policy.py,101,0,review_before_delete,False
medium,sahool-platform,function,highest_severity,services/sahool-platform/api/failure_modes.py,355,0,review_before_delete,False
medium,sahool-platform,function,monitoring_summary,services/sahool-platform/api/field_cameras.py,144,0,review_before_delete,False
medium,sahool-platform,class,FieldLifecycleEngine,services/sahool-platform/api/field_lifecycle.py,95,0,review_before_delete,False
medium,sahool-platform,function,build_field_runtime_payload,services/sahool-platform/api/field_runtime_cohesion.py,14,0,review_before_delete,False
medium,sahool-platform,class,DailyTemp,services/sahool-platform/api/gdd_tracker.py,86,0,review_before_delete,False
medium,sahool-platform,class,RasterAlignmentSpec,services/sahool-platform/api/geospatial_integrity.py,538,0,review_before_delete,False
medium,sahool-platform,function,check_bbox_in_utm_zones,services/sahool-platform/api/geospatial_integrity.py,547,0,review_before_delete,False
medium,sahool-platform,function,is_valid_yemen_utm_zone,services/sahool-platform/api/geospatial_integrity.py,555,0,review_before_delete,False
medium,sahool-platform,function,normalize_geojson_polygon,services/sahool-platform/api/gis_geometry_guard.py,116,0,review_before_delete,False
medium,sahool-platform,function,require_polygonal,services/sahool-platform/api/gis_kernel.py,155,0,review_before_delete,False
medium,sahool-platform,function,create_collaboration_event,services/sahool-platform/api/gis_phase7_enterprise.py,24,0,review_before_delete,False
medium,sahool-platform,function,merge_collaboration_events,services/sahool-platform/api/gis_phase7_enterprise.py,36,0,review_before_delete,False
medium,sahool-platform,function,get_ogc_manifest,services/sahool-platform/api/gis_phase7_enterprise.py,44,0,review_before_delete,False
medium,sahool-platform,function,create_distributed_raster_plan,services/sahool-platform/api/gis_phase7_enterprise.py,48,0,review_before_delete,False
medium,sahool-platform,function,run_digital_twin_scenario,services/sahool-platform/api/gis_phase7_enterprise.py,57,0,review_before_delete,False
medium,sahool-platform,function,produce_autonomous_recommendations,services/sahool-platform/api/gis_phase7_enterprise.py,63,0,review_before_delete,False
medium,sahool-platform,function,assess_planet_scale_readiness,services/sahool-platform/api/gis_phase7_enterprise.py,70,0,review_before_delete,False
medium,sahool-platform,function,tile_cdn_policy,services/sahool-platform/api/gis_phase7_enterprise.py,74,0,review_before_delete,False
medium,sahool-platform,class,IPMStage,services/sahool-platform/api/ipm_advisor.py,22,0,review_before_delete,False
medium,sahool-platform,function,supported_pests,services/sahool-platform/api/ipm_advisor.py,142,0,review_before_delete,False
medium,sahool-platform,function,reserve_authoritative_intent,services/sahool-platform/api/irrigation_authoritative_reservation.py,18,0,review_before_delete,False
medium,sahool-platform,function,reserve_and_request_dispatch,services/sahool-platform/api/irrigation_capacity_reservation.py,215,0,review_before_delete,False
medium,sahool-platform,function,certify_irrigation_production_runtime,services/sahool-platform/api/irrigation_closed_loop_learning.py,375,0,review_before_delete,False
medium,sahool-platform,function,build_commissioning_evidence,services/sahool-platform/api/irrigation_commissioning_certification.py,123,0,review_before_delete,False
medium,sahool-platform,function,build_irrigation_commissioning_certification,services/sahool-platform/api/irrigation_commissioning_certification.py,163,0,review_before_delete,False
medium,sahool-platform,function,apply_commissioning_executability_gate,services/sahool-platform/api/irrigation_commissioning_certification.py,368,0,review_before_delete,False
medium,sahool-platform,class,PumpEngineeringContract,services/sahool-platform/api/irrigation_engineering_contracts.py,71,0,review_before_delete,False
medium,sahool-platform,class,EmitEventExecutionRequestPort,services/sahool-platform/api/irrigation_execution_request_port.py,83,0,review_before_delete,False
medium,sahool-platform,function,resolve_source_paths,services/sahool-platform/api/irrigation_path_query.py,63,0,review_before_delete,False
medium,sahool-platform,function,compensate_dispatch_failure,services/sahool-platform/api/irrigation_reservation_adapter.py,334,0,review_before_delete,False
medium,sahool-platform,function,plan_and_maybe_emit,services/sahool-platform/api/lexicographic_mpc_bridge.py,96,0,review_before_delete,False
medium,sahool-platform,function,rate_limit_middleware,services/sahool-platform/api/main.py,898,0,review_before_delete,False
medium,sahool-platform,function,should_fail,services/sahool-platform/api/offline_pending_db.py,71,0,review_before_delete,False
medium,sahool-platform,function,reclaim_stuck_processing,services/sahool-platform/api/offline_pending_db.py,253,0,review_before_delete,False
medium,sahool-platform,function,clear_processed,services/sahool-platform/api/offline_pending_db.py,279,0,review_before_delete,False
medium,sahool-platform,class,SyncContractIssue,services/sahool-platform/api/offline_sync_contracts.py,30,0,review_before_delete,False
medium,sahool-platform,function,validate_sync_batch,services/sahool-platform/api/offline_sync_contracts.py,119,0,review_before_delete,False
medium,sahool-platform,function,fetch_synced_operations,services/sahool-platform/api/offline_sync_db.py,185,0,review_before_delete,False
medium,sahool-platform,function,validate_response,services/sahool-platform/api/onboarding.py,232,0,review_before_delete,False
medium,sahool-platform,function,prescription_to_csv,services/sahool-platform/api/prescriptions.py,338,0,review_before_delete,False
medium,sahool-platform,function,get_field_terrain,services/sahool-platform/api/raster_service_client.py,347,0,review_before_delete,False
medium,sahool-platform,function,field_to_pdf_bytes,services/sahool-platform/api/reports.py,237,0,review_before_delete,False
medium,sahool-platform,function,field_imagery_available_dates,services/sahool-platform/api/routers/fields.py,829,0,review_before_delete,False
medium,sahool-platform,function,field_imagery_timeline,services/sahool-platform/api/routers/fields.py,865,0,review_before_delete,False
medium,sahool-platform,function,field_irrigation_advice,services/sahool-platform/api/routers/fields.py,2524,0,review_before_delete,False
medium,sahool-platform,function,field_disease_risk,services/sahool-platform/api/routers/fields.py,2593,0,review_before_delete,False
medium,sahool-platform,function,field_unified_timeline,services/sahool-platform/api/routers/fields.py,3768,0,review_before_delete,False
medium,sahool-platform,function,send_to_subscriber,services/sahool-platform/api/routers/notifications.py,316,0,review_before_delete,False
medium,sahool-platform,function,irrigation_due_by_soil,services/sahool-platform/api/soil_water.py,119,0,review_before_delete,False
medium,sahool-platform,function,generate_block_assignments,services/sahool-platform/api/trial_randomization.py,108,0,review_before_delete,False
medium,sahool-platform,function,verify_assignment,services/sahool-platform/api/trial_randomization.py,150,0,review_before_delete,False
medium,sahool-platform,function,heat_stress_index,services/sahool-platform/api/weather_analytics.py,53,0,review_before_delete,False
medium,sahool-platform,function,get_wind_grid,services/sahool-platform/api/weather_service_client.py,496,0,review_before_delete,False
medium,sahool-platform,function,economic_context_from_ledger,services/sahool-platform/core/agronomic_state_engine.py,592,0,review_before_delete,False
medium,sahool-platform,function,explain_anwa_principle_ar,services/sahool-platform/core/anwa_calendar.py,120,0,review_before_delete,False
medium,sahool-platform,function,fields_in_farm_for_user,services/sahool-platform/core/authorization.py,392,0,review_before_delete,False
medium,sahool-platform,class,BaseConnector,services/sahool-platform/core/connectors/base.py,58,0,review_before_delete,False
medium,sahool-platform,function,build_trace_tree,services/sahool-platform/core/correlation.py,116,0,review_before_delete,False
medium,sahool-platform,function,find_similar_activities,services/sahool-platform/core/cross_reference_finder.py,212,0,review_before_delete,False
medium,sahool-platform,function,build_farm_brief,services/sahool-platform/core/daily_agronomist_full.py,93,0,review_before_delete,False
medium,sahool-platform,function,build_zone_brief,services/sahool-platform/core/daily_agronomist_full.py,120,0,review_before_delete,False
medium,sahool-platform,function,gaps_report,services/sahool-platform/core/data_inventory.py,175,0,review_before_delete,False
medium,sahool-platform,function,assert_governance_evaluated,services/sahool-platform/core/decision_dispatch.py,96,0,review_before_delete,False
medium,sahool-platform,class,DroughtComponents,services/sahool-platform/core/engines/drought_resilience.py,74,0,review_before_delete,False
medium,sahool-platform,function,evaluate_suitability,services/sahool-platform/core/engines/suitability.py,96,0,review_before_delete,False
medium,sahool-platform,function,explain_evidence_principle_ar,services/sahool-platform/core/evidence_class.py,113,0,review_before_delete,False
medium,sahool-platform,class,CostCategory,services/sahool-platform/core/farm_costing.py,31,0,review_before_delete,False
medium,sahool-platform,class,BusinessUnitType,services/sahool-platform/core/farm_operations_ledger.py,16,0,review_before_delete,False
medium,sahool-platform,class,ProductionUnitType,services/sahool-platform/core/farm_operations_ledger.py,27,0,review_before_delete,False
medium,sahool-platform,function,utc_now_iso,services/sahool-platform/core/field_event_sourcing.py,78,0,review_before_delete,False
medium,sahool-platform,function,state_explanation_ar,services/sahool-platform/core/field_lifecycle.py,119,0,review_before_delete,False
medium,sahool-platform,class,ConfidenceComposer,services/sahool-platform/core/guardrails.py,267,0,review_before_delete,False
medium,sahool-platform,function,evaluate_harvest_feedback,services/sahool-platform/core/harvest_feedback.py,48,0,review_before_delete,False
