owner,method,path,handler,file,line
decision-service,POST,/v1/learning/reconcile-evidence,reconcile_evidence_boundary,services/decision-service/main.py,2772
decision-service,POST,/v1/context-snapshots,compose_context_snapshot,services/decision-service/main.py,2802
decision-service,GET,/v1/context-snapshots/{snapshot_id},read_context_snapshot,services/decision-service/main.py,2834
edge-inference,GET,/healthz,health_check,services/edge-inference/main.py,168
edge-inference,POST,/v1/inference/pest-detect,detect_pest,services/edge-inference/main.py,200
edge-inference,POST,/v1/inference/yield-estimate,estimate_yield,services/edge-inference/main.py,262
edge-inference,POST,/v1/sync/trigger,trigger_sync,services/edge-inference/main.py,328
edge-inference,GET,/capabilities,capabilities,services/edge-inference/main.py,360
edge-inference,GET,/readyz,readyz,services/edge-inference/main.py,365
field-management-service,GET,/healthz,healthz,services/field-management-service/main.py,184
field-management-service,GET,/health,legacy_health,services/field-management-service/main.py,189
field-management-service,GET,/readyz,readyz,services/field-management-service/main.py,194
field-management-service,GET,/contract,contract,services/field-management-service/main.py,206
field-management-service,GET,/,root,services/field-management-service/main.py,225
field-management-service,GET,/internal/fields/{field_id},internal_get_field,services/field-management-service/main.py,234
field-management-service,GET,/internal/fields,internal_list_fields,services/field-management-service/main.py,266
field-segmentation,GET,/healthz,healthz,services/field-segmentation/main.py,370
field-segmentation,GET,/health,legacy_health,services/field-segmentation/main.py,375
field-segmentation,GET,/readyz,readyz,services/field-segmentation/main.py,380
field-segmentation,POST,/v1/segment,segment,services/field-segmentation/main.py,391
guardrails-engine,GET,/healthz,healthz,services/guardrails-engine/routers/health.py,22
guardrails-engine,GET,/readyz,readyz,services/guardrails-engine/routers/health.py,27
guardrails-engine,GET,/metrics,metrics_endpoint,services/guardrails-engine/routers/health.py,46
guardrails-engine,POST,/v1/validate,validate_action,services/guardrails-engine/routers/validation.py,28
guardrails-engine,POST,/v1/approve/{workflow_id},approve_workflow,services/guardrails-engine/routers/validation.py,42
guardrails-engine,GET,/v1/workflow/{workflow_id},get_workflow,services/guardrails-engine/routers/validation.py,62
indicators-service,GET,/healthz,healthz,services/indicators-service/main.py,63
indicators-service,GET,/health,legacy_health,services/indicators-service/main.py,68
indicators-service,GET,/readyz,ready,services/indicators-service/main.py,73
indicators-service,GET,/v1/indicators/ownership,ownership,services/indicators-service/main.py,87
indicators-service,GET,/v1/indicators/catalog,catalog,services/indicators-service/main.py,92
indicators-service,GET,/capabilities,capabilities,services/indicators-service/main.py,102
indicators-service,GET,/contract,contract,services/indicators-service/main.py,125
indicators-service,POST,/v1/indicators/compute,compute_indicator,services/indicators-service/main.py,147
indicators-service,GET,/,root,services/indicators-service/main.py,155
indicators-service,GET,/v1/fields/{field_id}/observations,field_observations,services/indicators-service/main.py,165
indicators-service,GET,/v1/fields/{field_id}/observation-timeline,observation_timeline,services/indicators-service/main.py,196
knowledge-graph,GET,/healthz,healthz,services/knowledge-graph/main.py,89
knowledge-graph,GET,/metrics,metrics,services/knowledge-graph/main.py,94
knowledge-graph,GET,/readyz,readyz,services/knowledge-graph/main.py,111
knowledge-graph,POST,/v1/nodes,upsert_node,services/knowledge-graph/main.py,120
knowledge-graph,POST,/v1/edges,upsert_edge,services/knowledge-graph/main.py,128
knowledge-graph,GET,/v1/edges,edges,services/knowledge-graph/main.py,137
knowledge-graph,POST,/graphql,graphql,services/knowledge-graph/main.py,151
local-ai-rag,POST,/v1/query,query_endpoint,services/local-ai-rag/main.py,420
local-ai-rag,POST,/v1/ingest,ingest_endpoint,services/local-ai-rag/main.py,430
local-ai-rag,GET,/healthz,healthz,services/local-ai-rag/main.py,482
local-ai-rag,GET,/health,legacy_health,services/local-ai-rag/main.py,500
local-ai-rag,GET,/readyz,readyz,services/local-ai-rag/main.py,505
mcp-servers,GET,/healthz,healthz,services/mcp_servers/generic_context_server.py,122
mcp-servers,GET,/readyz,readyz,services/mcp_servers/generic_context_server.py,127
mcp-servers,GET,/v1/mcp/tools,list_tools,services/mcp_servers/generic_context_server.py,134
mcp-servers,POST,/v1/mcp/tools/call,call_tool,services/mcp_servers/generic_context_server.py,151
mcp-servers,GET,/v1/mcp/tools/list,mcp_tools_list,services/mcp_servers/market_server.py,546
mcp-servers,POST,/v1/mcp/tools/call,mcp_tools_call,services/mcp_servers/market_server.py,578
mcp-servers,GET,/v1/products,api_search_products,services/mcp_servers/market_server.py,632
mcp-servers,GET,/v1/suppliers/{supplier_id},api_get_supplier,services/mcp_servers/market_server.py,644
mcp-servers,POST,/v1/procurement,api_create_procurement,services/mcp_servers/market_server.py,649
mcp-servers,GET,/v1/procurement/{order_id},api_get_procurement,services/mcp_servers/market_server.py,655
mcp-servers,POST,/v1/sales,api_create_sales,services/mcp_servers/market_server.py,662
mcp-servers,GET,/v1/sales,api_search_sales,services/mcp_servers/market_server.py,667
mcp-servers,GET,/v1/price-history/{category},api_price_history,services/mcp_servers/market_server.py,684
mcp-servers,GET,/v1/analytics/{tenant_id},api_analytics,services/mcp_servers/market_server.py,691
mcp-servers,GET,/healthz,health,services/mcp_servers/market_server.py,698
mcp-servers,GET,/readyz,readyz,services/mcp_servers/market_server.py,715
mcp-servers,GET,/v1/mcp/tools,list_tools,services/mcp_servers/sentinel_hub_server.py,199
mcp-servers,POST,/v1/mcp/tools/call,call_tool,services/mcp_servers/sentinel_hub_server.py,286
