service,file,line,method,path,function
raster-service,services/raster-service/routers/fields.py,173,POST,/v1/fields/{field_id}/imagery/backfill,field_historical_backfill
raster-service,services/raster-service/routers/fields.py,555,GET,/v1/fields/{field_id}/imagery/backfill/{run_id},field_backfill_run_status
raster-service,services/raster-service/routers/fields.py,573,POST,/v1/fields/{field_id}/geometry/versions,create_field_geometry_version
raster-service,services/raster-service/routers/fields.py,602,POST,/v1/fields/analytics/geoparquet/export,export_field_analytics_geoparquet
raster-service,services/raster-service/routers/fields.py,654,POST,/v1/fields/{field_id}/process-cdse,process_cdse
raster-service,services/raster-service/routers/fields.py,704,GET,/v1/fields/{field_id}/indicator-grid,field_indicator_grid
raster-service,services/raster-service/routers/fields.py,738,GET,/v1/fields/{field_id}/pixel,field_pixel_value
raster-service,services/raster-service/routers/fields.py,817,POST,/v1/fields/{field_id}/prescription,field_prescription
raster-service,services/raster-service/routers/fields.py,864,POST,/v1/fields/{field_id}/change,field_change
raster-service,services/raster-service/routers/fields.py,921,GET,/v1/fields/{field_id}/timeseries,field_timeseries
raster-service,services/raster-service/routers/fields.py,1005,GET,/v1/fields/{field_id}/tiles/{z}/{x}/{y}.png,field_tile
raster-service,services/raster-service/routers/fields.py,1079,GET,/v1/fields/{field_id}/available-dates,field_available_dates
raster-service,services/raster-service/routers/fields.py,1192,GET,/v1/fields/{field_id}/terrain,field_terrain
raster-service,services/raster-service/routers/fields.py,1241,GET,/v1/fields/{field_id}/tilejson,field_tilejson
raster-service,services/raster-service/routers/imagery.py,22,GET,/v1/imagery/backfill/policy,historical_backfill_policy
raster-service,services/raster-service/routers/imagery.py,44,GET,/v1/imagery/quality/policy,imagery_quality_policy
raster-service,services/raster-service/routers/imagery.py,78,POST,/v1/imagery/scenes/rank,rank_imagery_scenes
raster-service,services/raster-service/routers/imagery.py,91,POST,/v1/imagery/mosaic/plan,imagery_mosaic_plan
raster-service,services/raster-service/routers/imagery.py,114,POST,/v1/scenes/quality-score,scene_quality_score
raster-service,services/raster-service/routers/imagery.py,130,POST,/v1/cog/registry/preview,cog_registry_preview
raster-service,services/raster-service/routers/imagery_search.py,24,GET,/imagery/search/recent,imagery_search_recent
raster-service,services/raster-service/routers/imagery_search.py,43,GET,/imagery/search/season,imagery_search_season
raster-service,services/raster-service/routers/imagery_search.py,65,GET,/imagery/best,imagery_best_scene
raster-service,services/raster-service/routers/imagery_search.py,120,POST,/imagery/search,imagery_search
raster-service,services/raster-service/routers/imagery_search.py,132,GET,/imagery/search/radar,imagery_search_radar
raster-service,services/raster-service/routers/imagery_search.py,157,GET,/imagery/search/landsat,imagery_search_landsat
raster-service,services/raster-service/routers/imagery_search.py,157,GET,/imagery/search/landsat-thermal,imagery_search_landsat
raster-service,services/raster-service/routers/imagery_search.py,186,GET,/imagery/dem,imagery_dem
raster-service,services/raster-service/routers/jobs.py,19,GET,/jobs/{job_id},job_status
raster-service,services/raster-service/routers/jobs.py,37,GET,/jobs/{job_id}/result,job_result
raster-service,services/raster-service/routers/observability.py,31,GET,/healthz,healthz
raster-service,services/raster-service/routers/observability.py,36,GET,/metrics,metrics
raster-service,services/raster-service/routers/observability.py,117,GET,/v1/tiles/observability,tile_observability
raster-service,services/raster-service/routers/observability.py,158,GET,/readyz,readyz
raster-service,services/raster-service/routers/observability.py,179,GET,/v1/tile-cache/stats,tile_cache_stats
raster-service,services/raster-service/routers/observability.py,200,GET,/info/{layer_id},raster_info
raster-service,services/raster-service/routers/observability.py,210,GET,/v1/providers/status,providers_status
raster-service,services/raster-service/routers/observability.py,240,GET,/indices,field_indices
raster-service,services/raster-service/routers/processing.py,24,POST,/process,process_raster
raster-service,services/raster-service/routers/processing.py,55,POST,/raw/process,process_raw_data
raster-service,services/raster-service/routers/processing.py,74,POST,/process/batch,process_batch
raster-service,services/raster-service/routers/soil_tiles.py,37,GET,/v1/soil/tiles/{prop}/{depth}/{z}/{x}/{y}.png,soil_tile
raster-service,services/raster-service/routers/soil_tiles.py,52,GET,/v1/soil/tilejson,soil_tilejson
